company_age_months,monthly_burn_usd,runway_months,team_size,founder_exits,customer_growth_pct,support_tickets_last_30_days,annual_revenue_usd,market_segment,growth_stage,remote_friendly,investor_tier,churned
 95.0 ,"66,825", 15.72 , 26.0 ,3.0,25.8%,22,,AI,SEED,remote,TIER-1-VC,0
92.0,"53,129", 10.58 , 34.0 ,0.0,25.6%,22.0,"$898,035",AI,Pre-Seed,TRUE,Angel,1
 74.0 ," USD 20,917.57 ",22,34.0,1,8.43,18.0,"$431,544",saas, seed ,remote, tier-2-vc ,0
9,"$104,041",13, 17.0 ,2,-2.48,19,"$1,609,004",fintech,SEED,0, none ,1
 87.0 ,,2,34.0,0, -1 % ,14.0,"$1,327,011",HEALTHTECH,Seed,remote,TIER-2-VC,0
 45.0 ,"$41,899",14.79,15, 0.0 , 25 % ,16,"$384,658",fintech,seed,onsite,tier-1-vc,0
 90.0 ," USD 78,403.84 ", 22.72 ,17.0,0,9.24,17.0,"748,280",fintech,SEED,0,Tier-2-Vc,0
66,"53,049",,42,0, -9 % ,19," USD 364,269.11 ",unknown, pre-seed ,TRUE, angel ,0
106," USD 54,686.14 ", 22.15 , 40.0 ,0.0, -20 % ,19.0," USD 1,046,908.23 ", ecommerce ,Series-A,0,tier-1-vc,0
 42.0 ,"102,075", 7.9 ,unknown,1.0,25.0%,21,"$1,908,253",,SERIES-A,onsite,none,1
111,"35,028",18, 16.0 ,2.0,0.16, 21.0 ,"$686,095",ai,pre-seed,,ANGEL,0
,"$130,095", 9.39 ,17.0,1, 16 % ,21,"1,729,040", saas ,pre-seed,no, tier-2-vc ,0
41,"33,903",14.12,36.0, 1.0 ,32.3%, 10.0 ,"466,031",Saas,PRE-SEED,FALSE,TIER-2-VC,0
59,"50,793",7,12.0,0.0,-13.6%,16.0," USD 788,094.82 ",ai,pre-seed,0,TIER-2-VC,0
65," USD 210,579.89 ",9.78, 31.0 ,0.0,9.19, 22.0 ,"4,585,334",fintech,pre-seed,no,Tier-2-Vc,1
92.0,"135,950", 9.62 , 36.0 ,3.0,unknown,15.0," USD 3,096,312.00 ",Healthtech,PRE-SEED,remote,none,1
83.0,"77,164",17.49,25.0,1.0,16.8%,15.0,"$1,479,629",ai,series-a,Yes,None,0
 102.0 ,"43,595", 17.0 ,40.0,3,32.3,13," USD 755,251.25 ",ECOMMERCE,series-a,1,Tier-2-Vc,0
 46.0 ,"54,661", 14.38 , 22.0 , 0.0 ,,17," USD 1,166,542.97 ",FINTECH,Series-A,1, tier-2-vc ,0
 62.0 ,"$76,138",6.25, 23.0 , 1.0 ,20.3%,16.0,"1,140,289",SAAS,SEED,remote,ANGEL,0
53," USD 74,655.37 ",11.44,12,0,28.6%,22.0," USD 1,077,742.43 ",SAAS,SERIES-A,TRUE,angel,0
 109.0 ,n/a, 9.27 ,40.0,0,6.65, 17.0 ,"1,077,143", healthtech , series-a ,1,none,0
38.0,"$71,901",17,15.0, 0.0 ,7.5%, 16.0 ,"$868,931", fintech , series-b ,TRUE, tier-2-vc ,0
71,"64,997",19,31.0,0,17.5%,17," USD 994,448.98 ",Ecommerce,SERIES-A,1,angel,1
17.0,"$33,088",18,,3.0,16.2%,30,"$381,511",Ecommerce, series-a ,onsite,unknown,1
 102.0 ," USD 55,045.70 ",9,n/a,0, 20 % ,14,"1,106,420",saas,series-a,No,Angel,0
47,"120,939",1, 17.0 ,0.0,20.1,17," USD 2,198,039.70 ",HEALTHTECH, seed ,0,angel,0
42.0," USD 34,455.23 ",4,,0.0,-7.68,15.0," USD 748,307.33 ",healthtech, pre-seed ,TRUE,Angel,0
71.0,"65,890", 20.11 , 29.0 ,0.0,27.82,,,fintech, pre-seed ,FALSE,none,0
,,10.99,12.0, 2.0 ,31.0,23.0," USD 1,099,833.79 ",Ecommerce,SEED,remote,Tier-2-Vc,0
102,,9.25,30, 0.0 , 13 % , 16.0 ," USD 754,951.77 ",AI, pre-seed ,TRUE,angel,0
65.0," USD 59,056.61 ",n/a, 24.0 ,0, -17 % ,18.0," USD 661,833.71 ",Saas,pre-seed,yes, angel ,1
 63.0 ," USD 164,812.96 ",19.33,74,0.0, 8 % ,23,"$2,227,730",healthtech,PRE-SEED,FALSE,tier-1-vc,0
15,"$96,628",13.12,30, 0.0 ,13.5, 28.0 ,"$2,051,491", saas , seed ,FALSE,ANGEL,0
5,"$35,543",11.53,21.0, 0.0 , -11 % ,24.0,"$600,764",saas,series-b,no,angel,1
49," USD 105,786.21 ", 12.34 ,46,0,3.5%,12,"1,589,404",saas,seed,no, angel ,0
 119.0 ,"47,760", 14.14 ,2,0.0, -15 % ,16.0," USD 612,735.06 ",fintech,pre-seed,1,ANGEL,0
110,"$53,245",21.0,,1,20.93,n/a,"558,869",ECOMMERCE,Seed,FALSE,NONE,0
76.0,"$86,908", 15.11 ,54.0,0, 13 % ,17,"1,784,257", ai , seed ,remote,TIER-1-VC,0
76.0," USD 55,800.55 ", 16.63 , 24.0 ,0.0,-19.6%,19,"1,071,067",Ecommerce,series-a,TRUE,Angel,0
48.0," USD 119,499.89 ", 18.85 ,2, 0.0 , 16 % ,19," USD 2,558,468.85 ", fintech ,Seed,onsite,Tier-2-Vc,0
23,"$47,764", 7.15 , 20.0 ,0, 9 % , 19.0 ," USD 840,031.74 ",AI,PRE-SEED,no, tier-1-vc ,1
3.0," USD 52,030.19 ",17,46.0,2, 19 % ,12,"$282,607", healthtech ,SEED,yes,None,1
42.0,"$50,970",12, 31.0 ,0.0,2.95, 12.0 ,,ai,PRE-SEED,TRUE,TIER-2-VC,1
," USD 53,578.26 ",1.0, 14.0 ,0.0,-4.4%, 18.0 ," USD 956,880.16 ",Ecommerce,Series-A,1,None,1
 25.0 ," USD 133,860.75 ",2.36,16.0, 0.0 ,-3.88, 23.0 ,"$1,943,810",SAAS, series-b ,yes,angel,1
33.0,"103,346",7.91, 18.0 , 0.0 ,0.31,17.0,"$1,422,520",FINTECH,series-b,TRUE,tier-1-vc,0
5,"$187,300",15.66,31.0, 1.0 , 10 % , 18.0 ,"2,170,267",fintech,PRE-SEED,0,None,1
 74.0 ," USD 254,537.72 ",unknown,45,0.0,12.66, 19.0 ," USD 5,037,392.65 ",HEALTHTECH,series-a,TRUE,TIER-1-VC,0
 111.0 ," USD 41,485.76 ",14,41.0,0.0,6.6%, 14.0 ," USD 739,474.24 ",Fintech,series-a,Yes,TIER-2-VC,0
 83.0 ,"76,018", 22.75 ,32.0,0.0,2.4%,24,"1,368,693", fintech ,series-a,TRUE,Angel,0
55,"$38,296",6.65,7,1.0,3.7%,23," USD 515,672.65 ",fintech, pre-seed ,FALSE,None,0
52,"47,682", 12.86 ,7, 0.0 ,55.1%,26.0,"796,541",Saas,SEED,yes,tier-2-vc,0
38,,14.52,33.0,0.0, -4 % , 26.0 ,"$550,683",FINTECH,Pre-Seed,yes, angel ,0
 19.0 ," USD 40,886.89 ",9.32,7.0, 1.0 ,-0.04,21.0,"$632,957",HEALTHTECH, pre-seed ,0,unknown,1
,"41,006", 13.14 ,23,1,69.3%,n/a," USD 241,452.06 ",,series-a,onsite,angel,0
69," USD 67,551.37 ",5, 30.0 , 0.0 ,17.6%,28,"$657,108",Saas,seed,1,None,0
3,"$37,452",20, 10.0 , 1.0 ,-14.8%,23.0,"$550,941",fintech,PRE-SEED,no,unknown,1
 51.0 ,"116,212",10, 12.0 ,0.0, 25 % , 19.0 ,"$2,963,456", healthtech ,series-a,yes,ANGEL,0
35.0,"$44,145", 23.16 ,n/a,0, -6 % , 23.0 ,"388,345",Fintech,seed,No, angel ,0
22,"$342,924",,33.0,0.0,26.36,18," USD 3,780,964.96 ",AI,Series-B,Yes, tier-2-vc ,0
unknown,"$57,053",18, 41.0 ,0, 6 % ,21,"962,321",saas,Series-A,onsite,TIER-2-VC,0
64,unknown,13, 34.0 ,1.0,2.08,20.0," USD 1,755,871.94 ", healthtech ,SERIES-A,FALSE,tier-1-vc,0
 77.0 ,"$35,867", 12.85 ,27.0,0, 39 % ,20.0," USD 602,870.90 ",SAAS, series-a ,0, tier-1-vc ,0
 86.0 ,"$186,904",10.08,16, 0.0 ,20.2,18," USD 3,515,396.74 ",Saas,Pre-Seed,FALSE,ANGEL,0
117," USD 135,364.36 ",14,11,1,27.5%, 20.0 ," USD 1,983,031.68 ",fintech,pre-seed,remote,ANGEL,0
 96.0 ,"86,103", 14.59 ,19,0.0, 18 % ,14,"1,201,789",Healthtech,SERIES-B,onsite,TIER-2-VC,0
 75.0 ," USD 34,865.69 ",9.08, 32.0 ,1.0,2.0,17,"$569,313",Fintech,Pre-Seed,remote,none,1
